Time,Throughput
3.0,0.001536
3.5,0.0
4.0,0.001536
4.5,0.0
5.0,1.756608
5.5,2.928
6.0,3.264
6.5,3.36
7.0,2.496
7.5,3.288
8.0,0.6
8.5,0.072
9.0,2.592
9.5,3.576
10.0,1.44
10.5,0.024
11.0,5.712
11.5,3.192
12.0,3.168
12.5,4.56
13.0,5.52
13.5,4.56
14.0,2.16
14.5,1.92
15.0,2.496
15.5,2.544
16.0,1.776
16.5,1.08
17.0,0.744
17.5,1.584
18.0,1.272
18.5,1.752
19.0,3.0
19.5,0.0
20.0,0.0
20.5,0.12
21.0,0.0
21.5,0.0
22.0,0.0
22.5,0.024
23.0,0.0
23.5,0.0
24.0,0.0
24.5,0.144
25.0,1.2
25.5,1.464
26.0,0.864
26.5,1.032
27.0,5.4
27.5,1.92
28.0,2.328
28.5,1.848
29.0,2.232
29.5,1.752
30.0,1.464
30.5,1.368
31.0,1.992
31.5,1.872
32.0,2.112
32.5,1.968
33.0,1.608
33.5,2.04
34.0,2.928
34.5,2.352
35.0,2.064
35.5,2.256
36.0,2.352
36.5,2.328
37.0,2.664
37.5,2.208
38.0,2.544
38.5,2.544
39.0,2.304
39.5,2.064
40.0,2.016
40.5,2.016
41.0,2.784
41.5,2.256
42.0,2.472
42.5,2.04
43.0,2.016
43.5,1.968
44.0,2.064
44.5,1.056
45.0,0.0
45.5,0.0
46.0,0.408
46.5,10.84192
47.0,2.928
47.5,3.12
48.0,2.496
48.5,0.0
49.0,0.0
49.5,0.0
50.0,0.0
50.5,0.0
51.0,0.0
51.5,0.0
52.0,0.0
52.5,9.264
53.0,3.504
53.5,0.0
54.0,0.0
54.5,0.0
55.0,0.0
55.5,0.0
56.0,0.0
56.5,0.0
57.0,0.0
57.5,0.0
58.0,3.285504
58.5,9.48
