"Time","Throughput"
3.5,0.003232
4.0,0.0
4.5,0.0
5.0,0.008944
5.5,0.0
6.0,0.0
6.5,0.0
7.0,0.0
7.5,0.0
8.0,0.0
8.5,0.003232
9.0,0.0
9.5,0.008528
10.0,0.00856
10.5,0.0
11.0,0.01328
11.5,0.0
12.0,0.0
12.5,0.0
13.0,0.001664
13.5,0.004784
14.0,0.003552
14.5,0.006464
15.0,0.004464
15.5,0.005296
16.0,0.008864
16.5,0.0
17.0,0.00632
17.5,0.0
18.0,0.0
18.5,0.004784
19.0,0.0
19.5,0.009568
20.0,0.003552
20.5,0.003232
21.0,0.004464
21.5,0.003232
22.0,0.0
22.5,0.007632
