Time,Throughput
3.5,0.003072
4.0,0.003072
4.5,0.004608
5.0,0.439744
5.5,4.106496
6.0,8.55808
6.5,9.650176
7.0,10.011264
7.5,0.001856
8.0,7.532032
8.5,11.605376
9.0,12.58112
9.5,3.504576
10.0,1.115968
10.5,1.001472
11.0,3.678848
11.5,1.798528
12.0,1.459456
12.5,0.001856
13.0,1.459456
13.5,0.001856
14.0,0.001856
14.5,1.459456
15.0,0.001856
15.5,0.001856
16.0,0.001856
16.5,0.001856
17.0,0.869376
17.5,1.477056
18.0,1.459456
18.5,1.459456
19.0,1.34496
19.5,1.230464
20.0,1.230464
20.5,1.182016
21.0,1.208448
21.5,1.230464
22.0,1.208448
22.5,1.208448
23.0,1.208448
23.5,1.230464
24.0,1.182016
24.5,1.230464
25.0,1.208448
25.5,1.208448
26.0,1.230464
26.5,1.798528
27.0,5.211328
27.5,5.123264
28.0,5.189312
28.5,5.849856
29.0,1.525504
29.5,0.001856
30.0,0.001856
30.5,0.001856
31.0,0.001856
31.5,0.001856
32.0,0.001856
32.5,0.001856
33.0,0.001856
