Time,Throughput
3.0,0.054224
3.5,0.039072
4.0,0.036144
4.5,0.007872
5.0,0.13736
5.5,0.071568
6.0,0.084992
6.5,0.07736
7.0,0.088976
7.5,0.074672
8.0,0.079072
8.5,0.071584
9.0,0.08152
9.5,0.070192
10.0,0.07952
10.5,0.050992
11.0,0.11952
11.5,0.078176
12.0,0.07576
12.5,0.074816
13.0,0.079312
13.5,0.076976
14.0,0.078656
14.5,0.076224
15.0,0.089856
15.5,0.076448
16.0,0.077024
16.5,0.077616
17.0,0.0748
17.5,0.07608
18.0,0.083104
18.5,0.074304
19.0,0.077088
19.5,0.063664
20.0,0.012848
20.5,0.007648
21.0,0.011968
21.5,0.007568
22.0,0.020432
22.5,0.008224
23.0,0.010992
23.5,0.007648
24.0,0.01416
24.5,0.0084
25.0,0.039648
25.5,0.032224
26.0,0.018928
26.5,0.014544
27.0,0.047984
27.5,0.054464
28.0,0.06896
28.5,0.089088
29.0,0.145728
29.5,0.0684
30.0,0.077024
30.5,0.075136
31.0,0.086048
31.5,0.0696
32.0,0.083376
32.5,0.073632
33.0,0.080432
33.5,0.07696
34.0,0.079952
34.5,0.077584
35.0,0.081104
35.5,0.081696
36.0,0.072768
36.5,0.080288
37.0,0.068896
37.5,0.083344
38.0,0.078432
38.5,0.087792
39.0,0.071952
39.5,0.078624
40.0,0.07936
40.5,0.07728
41.0,0.073072
41.5,0.079312
42.0,0.072352
42.5,0.08592
43.0,0.07584
43.5,0.075824
44.0,0.074064
44.5,0.081728
45.0,0.075744
45.5,0.07848
46.0,0.078256
46.5,0.08216
47.0,0.076672
47.5,0.079264
48.0,0.075424
48.5,0.081936
49.0,0.074672
49.5,0.081216
50.0,0.06536
50.5,0.081968
51.0,0.077296
51.5,0.088368
52.0,0.074992
52.5,0.078656
53.0,0.073552
53.5,0.083456
54.0,0.070336
54.5,0.078608
55.0,0.068208
55.5,0.082512
56.0,0.075872
56.5,0.078352
57.0,0.07608
57.5,0.075376
58.0,0.073168
58.5,0.0852
59.0,0.07112
59.5,0.082544
60.0,0.07536
60.5,0.082976
61.0,0.07504
61.5,0.077072
62.0,0.070624
62.5,0.080784
63.0,0.050432
