Time,Throughput
3.5,0.004096
4.0,0.004096
4.5,0.004096
5.0,0.62048
5.5,1.649984
6.0,2.655424
6.5,5.38528
7.0,5.052992
7.5,0.0
8.0,2.677184
8.5,7.586816
9.0,3.762176
9.5,3.19328
10.0,3.390656
10.5,3.280064
11.0,3.278464
11.5,3.302656
12.0,3.028288
12.5,3.567744
13.0,3.225792
13.5,3.371712
14.0,3.304
14.5,3.470336
15.0,1.86496
15.5,1.92448
16.0,1.648768
16.5,1.625792
17.0,1.648768
17.5,1.625792
18.0,1.625792
18.5,1.648768
19.0,1.625792
19.5,1.625792
20.0,1.650112
20.5,1.625792
21.0,1.648768
21.5,1.625792
22.0,1.625792
22.5,1.648768
23.0,1.625792
23.5,1.625792
24.0,1.648768
24.5,1.625792
25.0,1.625792
25.5,1.648768
26.0,1.625792
26.5,1.625792
27.0,1.648768
27.5,1.097344
28.0,1.510912
28.5,1.327104
29.0,1.332608
29.5,1.327104
30.0,1.327104
30.5,1.327104
31.0,1.332608
31.5,1.327104
32.0,1.327104
32.5,1.327104
33.0,0.942016
