Time,Throughput
1.0,0.003232
1.5,0.0
2.0,0.0
2.5,0.00288
3.0,0.0
3.5,0.00288
4.0,0.0
4.5,0.007728
5.0,0.002432
5.5,0.0
6.0,0.004896
6.5,0.0
7.0,0.003232
7.5,0.0
8.0,0.004496
8.5,0.0
9.0,0.005296
9.5,0.0
10.0,0.0
10.5,0.0
11.0,0.014384
11.5,0.0
12.0,0.003232
12.5,0.0
13.0,0.004496
13.5,0.0
14.0,0.01128
14.5,0.0
15.0,0.005296
15.5,0.0
16.0,0.01096
16.5,0.0
17.0,0.009088
17.5,0.0
18.0,0.0
18.5,0.0
19.0,0.014512
19.5,0.0
20.0,0.004784
20.5,0.0
21.0,0.001552
21.5,0.0
22.0,0.004784
22.5,0.00944
23.0,0.001616
23.5,0.0
24.0,0.004784
24.5,0.0
25.0,0.004784
25.5,0.0
26.0,0.001552
26.5,0.001616
27.0,0.004784
27.5,0.0
28.0,0.001616
28.5,0.0
29.0,0.009952
29.5,0.0
30.0,0.001552
30.5,0.0
31.0,0.001616
31.5,0.0
32.0,0.007952
32.5,0.0
33.0,0.001616
