Time,Throughput
5.0,0.018176
5.5,0.055136
6.0,0.038448
6.5,0.025552
7.0,0.01248
7.5,0.007856
8.0,0.013024
8.5,0.012816
9.0,0.008384
9.5,0.01392
10.0,0.007088
10.5,0.01192
11.0,0.00704
11.5,0.013232
12.0,0.013856
12.5,0.00768
13.0,0.019216
13.5,0.008768
14.0,0.01328
14.5,0.00784
15.0,0.012496
15.5,0.012608
16.0,0.007936
16.5,0.01168
17.0,0.007184
17.5,0.013904
18.0,0.01344
18.5,0.006976
19.0,0.019168
19.5,0.007984
20.0,0.0124
20.5,0.00768
21.0,0.011536
21.5,0.011616
22.0,0.00768
22.5,0.011824
23.0,0.007248
23.5,0.011472
24.0,0.011232
24.5,0.007024
25.0,0.017312
25.5,0.008368
26.0,0.013856
26.5,0.008544
27.0,0.013616
27.5,0.0136
28.0,0.00776
28.5,0.012976
29.0,0.007344
29.5,0.013936
30.0,0.014112
30.5,0.006704
31.0,0.018208
31.5,0.007472
32.0,0.0112
32.5,0.006864
33.0,0.012032
33.5,0.012512
34.0,0.007808
34.5,0.01232
35.0,0.007408
35.5,0.012144
36.0,0.01192
36.5,0.007664
37.0,0.01712
37.5,0.007712
38.0,0.011728
38.5,0.00776
39.0,0.011696
39.5,0.011568
40.0,0.007712
40.5,0.012816
41.0,0.007808
41.5,0.011584
42.0,0.007888
42.5,0.019856
43.0,0.008512
43.5,0.011776
44.0,0.012352
44.5,0.007728
45.0,0.012624
45.5,0.007984
46.0,0.01168
46.5,0.011504
47.0,0.00768
47.5,0.012176
48.0,0.007664
48.5,0.01896
49.0,0.008128
49.5,0.013472
50.0,0.012704
50.5,0.007328
51.0,0.012576
51.5,0.00792
52.0,0.013232
52.5,0.00808
53.0,0.012752
53.5,0.011968
54.0,0.008224
54.5,0.01888
55.0,0.007184
55.5,0.012432
56.0,0.008224
56.5,0.011056
57.0,0.010368
57.5,0.007456
58.0,0.012464
58.5,0.00784
59.0,0.01032
59.5,0.012048
60.0,0.007072
60.5,0.017904
61.0,0.007408
61.5,0.012368
62.0,0.007744
62.5,0.011904
63.0,0.012384
63.5,0.00784
64.0,0.012768
64.5,0.008128
65.0,0.011344
