Time,Throughput
3.0,0.003232
3.5,0.0
4.0,0.0
4.5,0.0
5.0,0.0
5.5,0.0
6.0,0.0
6.5,0.007728
7.0,0.002432
7.5,0.0
8.0,0.003232
8.5,0.00288
9.0,0.00688
9.5,0.001664
10.0,0.004464
10.5,0.0
11.0,0.005296
11.5,0.001664
12.0,0.005296
12.5,0.00664
13.0,0.007216
13.5,0.0
14.0,0.003232
14.5,0.0
15.0,0.004464
15.5,0.003552
16.0,0.007696
16.5,0.0
17.0,0.005296
17.5,0.00464
18.0,0.004784
18.5,0.0
19.0,0.0
19.5,0.004784
20.0,0.00664
20.5,0.0
21.0,0.007696
21.5,0.008768
22.0,0.003232
22.5,0.0
23.0,0.001552
23.5,0.0
24.0,0.006912
24.5,0.007808
25.0,0.001616
25.5,0.001552
26.0,0.003232
26.5,0.001552
27.0,0.003232
27.5,0.0
28.0,0.003168
28.5,0.0
29.0,0.003232
29.5,0.001552
30.0,0.001616
30.5,0.003552
31.0,0.004848
31.5,0.003104
32.0,0.0
32.5,0.0
33.0,0.0
33.5,0.0
34.0,0.0
34.5,0.009568
35.0,0.001616
35.5,0.0
36.0,0.004848
36.5,0.001552
37.0,0.001552
37.5,0.002432
38.0,0.001616
38.5,0.001552
39.0,0.004848
39.5,0.0
40.0,0.001616
40.5,0.0
41.0,0.001616
41.5,0.001552
42.0,0.0
42.5,0.0
43.0,0.003232
43.5,0.001552
44.0,0.001616
44.5,0.0
45.0,0.0
45.5,0.0
46.0,0.003232
46.5,0.001552
47.0,0.0
47.5,0.0
48.0,0.001616
48.5,0.001552
49.0,0.003232
49.5,0.0
50.0,0.0
50.5,0.0
51.0,0.001616
51.5,0.0
52.0,0.001616
52.5,0.0
53.0,0.001616
53.5,0.0
54.0,0.001616
54.5,0.0
55.0,0.001616
55.5,0.0
56.0,0.001616
56.5,0.0
57.0,0.001616
57.5,0.0
58.0,0.003232
58.5,0.0
59.0,0.001616
59.5,0.0
60.0,0.001616
60.5,0.0
61.0,0.001616
61.5,0.0
62.0,0.001616
62.5,0.0
63.0,0.003264
63.5,0.0
64.0,0.001616
